<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.12.11	07:00:00	1.05274	1.05298	1.05260	1.05264	774	0	14
2024.12.11	07:30:00	1.05261	1.05261	1.05199	1.05240	964	0	14
2024.12.11	08:00:00	1.05239	1.05253	1.05206	1.05210	843	0	14
2024.12.11	08:30:00	1.05211	1.05263	1.05204	1.05234	946	0	14
2024.12.11	09:00:00	1.05233	1.05275	1.05217	1.05240	890	0	14
2024.12.11	09:30:00	1.05241	1.05274	1.05223	1.05253	1015	0	14
2024.12.11	10:00:00	1.05254	1.05278	1.05059	1.05064	3398	0	14
2024.12.11	10:30:00	1.05063	1.05100	1.04874	1.04894	4331	0	14
2024.12.11	11:00:00	1.04893	1.05033	1.04890	1.05020	3457	0	14
2024.12.11	11:30:00	1.05019	1.05119	1.05018	1.05049	2291	0	14
2024.12.11	12:00:00	1.05048	1.05091	1.04959	1.05023	3626	0	14
2024.12.11	12:30:00	1.05023	1.05065	1.04983	1.04999	2969	0	14
2024.12.11	13:00:00	1.04998	1.05007	1.04864	1.04941	3032	0	14
2024.12.11	13:30:00	1.04940	1.05008	1.04917	1.04944	2342	0	14
2024.12.11	14:00:00	1.04945	1.05027	1.04896	1.04978	2245	0	14
2024.12.11	14:30:00	1.04976	1.05047	1.04956	1.05027	2469	0	14
2024.12.11	15:00:00	1.05028	1.05175	1.05026	1.05065	2991	0	14
2024.12.11	15:30:00	1.05064	1.05086	1.04993	1.05024	2617	0	14
2024.12.11	16:00:00	1.05027	1.05156	1.05027	1.05138	2605	0	14
2024.12.11	16:30:00	1.05139	1.05367	1.05012	1.05235	7636	0	14
2024.12.11	17:00:00	1.05229	1.05285	1.05042	1.05069	4864	0	14
2024.12.11	17:30:00	1.05068	1.05084	1.04934	1.05001	5028	0	14
2024.12.11	18:00:00	1.05002	1.05075	1.04901	1.04961	4304	0	14
2024.12.11	18:30:00	1.04960	1.04981	1.04795	1.04900	4671	0	14
2024.12.11	19:00:00	1.04901	1.04975	1.04846	1.04895	3432	0	14
2024.12.11	19:30:00	1.04896	1.05113	1.04885	1.05072	3031	0	14
2024.12.11	20:00:00	1.05073	1.05111	1.04920	1.04936	1779	0	14
2024.12.11	20:30:00	1.04935	1.04973	1.04855	1.04869	2263	0	14
2024.12.11	21:00:00	1.04870	1.04993	1.04868	1.04982	2815	0	14
2024.12.11	21:30:00	1.04983	1.04994	1.04825	1.04838	2339	0	14
2024.12.11	22:00:00	1.04836	1.04891	1.04809	1.04889	1749	0	14
2024.12.11	22:30:00	1.04890	1.04935	1.04867	1.04906	1913	0	14
2024.12.11	23:00:00	1.04907	1.04947	1.04904	1.04930	1553	0	14
2024.12.11	23:30:00	1.04930	1.04936	1.04891	1.04891	1072	0	14
2024.12.12	00:00:00	1.04931	1.04956	1.04927	1.04947	422	0	14
2024.12.12	00:30:00	1.04948	1.04968	1.04922	1.04922	742	0	14
2024.12.12	01:00:00	1.04921	1.04967	1.04906	1.04962	288	0	14
2024.12.12	01:30:00	1.04954	1.04969	1.04932	1.04958	434	0	14
2024.12.12	02:00:00	1.04958	1.05001	1.04958	1.04997	388	0	14
2024.12.12	02:30:00	1.04998	1.05059	1.04997	1.05047	401	0	14
2024.12.12	03:00:00	1.05048	1.05079	1.05023	1.05023	936	0	14
2024.12.12	03:30:00	1.05024	1.05061	1.05017	1.05050	1592	0	14
2024.12.12	04:00:00	1.05051	1.05081	1.05026	1.05072	1235	0	14
2024.12.12	04:30:00	1.05071	1.05076	1.05037	1.05055	1360	0	14
2024.12.12	05:00:00	1.05056	1.05066	1.05023	1.05031	867	0	14
2024.12.12	05:30:00	1.05032	1.05046	1.05012	1.05028	995	0	14
2024.12.12	06:00:00	1.05029	1.05071	1.05001	1.05069	938	0	14
2024.12.12	06:30:00	1.05070	1.05079	1.05028	1.05047	738	0	14
2024.12.12	07:00:00	1.05046	1.05083	1.05038	1.05074	604	0	14
2024.12.12	07:30:00	1.05073	1.05085	1.05037	1.05082	598	0	14
2024.12.12	08:00:00	1.05084	1.05088	1.05040	1.05057	563	0	14
2024.12.12	08:30:00	1.05058	1.05072	1.05027	1.05059	1273	0	14
2024.12.12	09:00:00	1.05060	1.05080	1.05037	1.05062	895	0	14
2024.12.12	09:30:00	1.05063	1.05135	1.05063	1.05134	805	0	14
2024.12.12	10:00:00	1.05135	1.05302	1.05120	1.05214	2653	0	14
2024.12.12	10:30:00	1.05215	1.05258	1.05156	1.05157	2531	0	14
2024.12.12	11:00:00	1.05156	1.05201	1.05097	1.05098	2417	0	14
2024.12.12	11:30:00	1.05096	1.05129	1.05034	1.05078	3460	0	14
2024.12.12	12:00:00	1.05077	1.05167	1.05048	1.05121	2265	0	14
2024.12.12	12:30:00	1.05122	1.05159	1.05058	1.05094	2562	0	14
2024.12.12	13:00:00	1.05093	1.05136	1.05058	1.05085	1949	0	14
